Title,Genres,Publishers,Review Score,Console,Rating,Year
Super Mario 64 DS,Action,Nintendo,85,Nintendo DS,E,2004
Lumines: Puzzle Fusion,Strategy,Ubisoft,89,Sony PSP,E,2004
WarioWare Touched!,"Action,Racing / Driving,Sports",Nintendo,81,Nintendo DS,E,2004
Hot Shots Golf: Open Tee,Sports,Sony,81,Sony PSP,E,2004
Spider-Man 2,Action,Activision,61,Nintendo DS,E,2004
The Urbz: Sims in the City,Simulation,EA,67,Nintendo DS,M,2004
Ridge Racer,Racing / Driving,Namco,88,Sony PSP,E,2004
Metal Gear Ac!d,Strategy,Konami,75,Sony PSP,E,2004
Madden NFL 2005,Sports,EA,68,Nintendo DS,T,2004
Pokmon Dash,Racing / Driving,Nintendo,46,Nintendo DS,T,2004
Dynasty Warriors,"Action,Adventure,Role-Playing (RPG)",,62,Sony PSP,E,2004
Feel the Magic XY/XX,"Action,Adventure,Racing / Driving,Sports",Sega,75,Nintendo DS,T,2004
Ridge Racer DS,Racing / Driving,Namco,63,Nintendo DS,E,2004
Darkstalkers Chronicle: The Chaos Tower,Action,Capcom,74,Sony PSP,E,2004
Ape Escape Academy,"Action,Sports",Sony,51,Sony PSP,E,2004
Polarium,Strategy,Nintendo,73,Nintendo DS,E,2004
Asphalt: Urban GT,"Racing / Driving,Simulation",Ubisoft,60,Nintendo DS,E,2004
Zoo Keeper,Action,,74,Nintendo DS,T,2004
Mr. DRILLER: Drill Spirits,Action,Namco,72,Nintendo DS,T,2004
Sprung,Adventure,Ubisoft,48,Nintendo DS,E,2004
Armored Core: Formula Front - Extreme Battle,"Action,Strategy",,66,Sony PSP,E,2004
Puyo Pop Fever,"Action,Strategy",Sega,76,Nintendo DS,E,2004
Mario Kart DS,Racing / Driving,Nintendo,91,Nintendo DS,E,2005
Nintendogs,Simulation,Nintendo,83,Nintendo DS,E,2005
Brain Age: Train Your Brain in Minutes a Day!,Action,Nintendo,77,Nintendo DS,M,2005
Brain Agey: More Training in Minutes a Day!,Action,Nintendo,77,Nintendo DS,E,2005
Grand Theft Auto: Liberty City Stories,"Action,Racing / Driving","Capcom,Rockstar",88,Sony PSP,E,2005
Animal Crossing: Wild World,Simulation,Nintendo,86,Nintendo DS,T,2005
Big Brain Academy,Action,Nintendo,74,Nintendo DS,E,2005
Call of Duty 2,Action,"Activision,Konami",89,X360,E,2005
Midnight Club 3: DUB Edition,Racing / Driving,Rockstar,74,Sony PSP,T,2005
Need for Speed: Most Wanted 5-1-0,Racing / Driving,EA,72,Sony PSP,M,2005
Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo,62,Nintendo DS,T,2005
Sonic Rush,Action,Sega,82,Nintendo DS,E,2005
Star Wars: Battlefront II,Action,,69,Sony PSP,E,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,Sony,82,Sony PSP,E,2005
Need for Speed: Most Wanted,Racing / Driving,EA,83,X360,E,2005
Zoo Tycoon DS,"Simulation,Strategy",THQ,44,Nintendo DS,T,2005
The Sims 2,"Role-Playing (RPG),Simulation",EA,70,Nintendo DS,M,2005
Mario & Luigi: Partners in Time,"Action,Role-Playing (RPG)",Nintendo,86,Nintendo DS,E,2005
Madden NFL 06,Sports,EA,75,Sony PSP,E,2005
Need for Speed Underground: Rivals,Racing / Driving,EA,74,Sony PSP,E,2005
Twisted Metal: Head-On,"Action,Racing / Driving",Sony,79,Sony PSP,E,2005
Perfect Dark Zero,Action,Microsoft,79,X360,E,2005
Super Monkey Ball: Touch & Roll,Action,Sega,63,Nintendo DS,T,2005
Super Princess Peach,Action,Nintendo,75,Nintendo DS,T,2005
Burnout Legends,"Action,Racing / Driving",EA,86,Sony PSP,T,2005
Madden NFL 06,Sports,EA,74,X360,E,2005
Clubhouse Games,Strategy,Nintendo,83,Nintendo DS,E,2005
ATV Offroad Fury: Blazin' Trails,"Racing / Driving,Sports",Sony,63,Sony PSP,T,2005
Untold Legends: Brotherhood of the Blade,"Action,Role-Playing (RPG)","Activision,Sony",68,Sony PSP,M,2005
Tony Hawk's Underground 2: Remix,Sports,Activision,83,Sony PSP,T,2005
The Sims 2,"Simulation,Strategy",EA,65,Sony PSP,T,2005
WipEout Pure,"Action,Racing / Driving",Sony,88,Sony PSP,E,2005
NBA Live 06,Sports,EA,80,Sony PSP,E,2005
WWE Smackdown vs. Raw 2006,"Action,Sports",THQ,81,Sony PSP,T,2005
Dead or Alive 4,Action,,85,X360,E,2005
Phoenix Wright: Ace Attorney,"Adventure,Simulation",Capcom,81,Nintendo DS,E,2005
Spider-Man 2,Action,Activision,67,Sony PSP,M,2005
NFL Street 2,Sports,EA,73,Sony PSP,T,2005
Kirby: Canvas Curse,Action,Nintendo,86,Nintendo DS,T,2005
Battlefield 2: Modern Combat,Action,EA,77,X360,E,2005
Yoshi Touch & Go,Action,Nintendo,73,Nintendo DS,T,2005
Tiger Woods PGA Tour 06,Sports,EA,71,X360,T,2005
Condemned: Criminal Origins,"Action,Adventure",Sega,81,X360,E,2005
Peter Jackson's King Kong: The Official Game of...,Action,Ubisoft,80,X360,T,2005
Castlevania: Dawn of Sorrow,"Action,Role-Playing (RPG)",Konami,89,Nintendo DS,T,2005
SpongeBob SquarePants: The Yellow Avenger,Action,THQ,67,Nintendo DS,E,2005
Marvel Nemesis: Rise of the Imperfects ,Action,EA,58,Sony PSP,T,2005
Kameo: Elements of Power,Action,Microsoft,79,X360,T,2005
Advance Wars: Dual Strike,Strategy,Nintendo,90,Nintendo DS,T,2005
Trauma Center: Under the Knife,"Action,Simulation",Nintendo,81,Nintendo DS,T,2005
Coded Arms,Action,Konami,59,Sony PSP,M,2005
NBA LIVE 06 ,Sports,EA,64,X360,E,2005
Tony Hawk's American Wasteland,Sports,Activision,75,X360,E,2005
Star Wars: Episode III - Revenge of the Sith,Action,Ubisoft,73,Nintendo DS,E,2005
Capcom Classics Collection Remixed,Action,Capcom,72,Sony PSP,E,2005
Madagascar,Adventure,Activision,66,Nintendo DS,E,2005
X-Men: Legends II - Rise of Apocalypse,"Action,Role-Playing (RPG)",Activision,84,Sony PSP,M,2005
Quake 4,Action,Activision,75,X360,E,2005
Pokmon Trozei!,Strategy,Nintendo,74,Nintendo DS,E,2005
Need for Speed: Most Wanted,Racing / Driving,EA,45,Nintendo DS,E,2005
Mega Man Maverick Hunter X,Action,Capcom,79,Sony PSP,E,2005
Metroid Prime Pinball,"Action,Simulation",Nintendo,79,Nintendo DS,E,2005
NBA 06,Sports,Sony,72,Sony PSP,E,2005
GUN ,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,X360,E,2005
NBA 2K6 ,Sports,2K,81,X360,E,2005
Pinball Hall of Fame: The Gottlieb Collection,Action,,73,Sony PSP,T,2005
Harry Potter and the Goblet of Fire,Action,EA,68,Nintendo DS,T,2005
Tony Hawk's American Sk8land,Sports,Activision,84,Nintendo DS,E,2005
MVP Baseball,Sports,EA,67,Sony PSP,M,2005
Tiger Woods PGA Tour,Sports,EA,78,Sony PSP,E,2005
World Series of Poker,"Sports,Strategy",Activision,37,Sony PSP,E,2005
SSX on Tour,Sports,EA,79,Sony PSP,E,2005
Tiger Woods PGA Tour 06,Sports,EA,80,Sony PSP,T,2005
Death Jr.,Action,Konami,61,Sony PSP,M,2005
Harry Potter and the Goblet of Fire,Action,EA,70,Sony PSP,T,2005
MediEvil Resurrection,Action,Sony,66,Sony PSP,T,2005
"The Chronicles of Narnia: The Lion, the Witch a...","Action,Role-Playing (RPG)",,65,Nintendo DS,T,2005
Shrek SuperSlam,Action,Activision,56,Nintendo DS,E,2005
Virtua Tennis: World Tour,Sports,Sega,84,Sony PSP,M,2005
Prince of Persia: Revelations,Action,Ubisoft,65,Sony PSP,E,2005
Burnout Legends,"Action,Racing / Driving",EA,38,Nintendo DS,E,2005
Meteos,Strategy,Nintendo,88,Nintendo DS,E,2005
Spyro: Shadow Legacy,Role-Playing (RPG),,50,Nintendo DS,E,2005
The Con,Action,Sony,63,Sony PSP,E,2005
Infected,Action,,74,Sony PSP,E,2005
Pursuit Force,"Action,Racing / Driving",Sony,75,Sony PSP,M,2005
Kingdom of Paradise,"Action,Role-Playing (RPG)",Sony,72,Sony PSP,E,2005
Dragon Ball Z: Supersonic Warriors 2,Action,Atari,66,Nintendo DS,E,2005
Dragon Quest Heroes: Rocket Slime,Action,SquareEnix,83,Nintendo DS,T,2005
Dead to Rights: Reckoning,Action,Namco,54,Sony PSP,E,2005
Amped 3,Sports,2K,72,X360,E,2005
Break 'em All,Action,,68,Nintendo DS,T,2005
Lunar: Dragon Song,Role-Playing (RPG),Ubisoft,59,Nintendo DS,M,2005
Madden NFL 06,Sports,EA,66,Nintendo DS,E,2005
Retro Atari Classics,"Action,Racing / Driving,Simulation",Atari,51,Nintendo DS,E,2005
True Swing Golf,Sports,Nintendo,66,Nintendo DS,E,2005
FIFA Soccer,Sports,EA,73,Sony PSP,E,2005
Metal Gear Ac!d 2,Strategy,Konami,80,Sony PSP,E,2005
ATV Quad Frenzy,"Racing / Driving,Sports",,35,Nintendo DS,T,2005
Bomberman,Strategy,Ubisoft,75,Nintendo DS,E,2005
GoldenEye: Rogue Agent,Action,EA,58,Nintendo DS,T,2005
Need for Speed Underground 2,Racing / Driving,EA,65,Nintendo DS,T,2005
Frogger: Helmet Chaos,Action,Konami,66,Sony PSP,E,2005
The Lord of the Rings: Tactics,"Role-Playing (RPG),Strategy",EA,64,Sony PSP,M,2005
Rengoku: The Tower of Purgatory,"Action,Role-Playing (RPG)",Konami,43,Sony PSP,E,2005
Gretzky NHL,Sports,Sony,61,Sony PSP,E,2005
Ridge Racer 6,Racing / Driving,"EA,Namco",74,X360,E,2005
Ford Racing 3,"Action,Racing / Driving",,49,Nintendo DS,E,2005
NHL 2K6 ,Sports,2K,75,X360,T,2005
Bust-a-Move DS,"Action,Strategy",,75,Nintendo DS,E,2005
Battles of Prince of Persia,Strategy,Ubisoft,64,Nintendo DS,E,2005
GripShift,Racing / Driving,Ubisoft,70,Sony PSP,E,2005
Marvel Nemesis: Rise of the Imperfects ,Action,EA,34,Nintendo DS,T,2005
Scooby-Doo! Unmasked,Action,THQ,60,Nintendo DS,E,2005
Viewtiful Joe: Double Trouble!,Action,Capcom,73,Nintendo DS,E,2005
The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),,68,Sony PSP,T,2005
PQ: Practical Intelligence Quotient,Strategy,,69,Sony PSP,E,2005
Lost in Blue,Role-Playing (RPG),Konami,69,Nintendo DS,T,2005
Ghost in the Shell: Stand Alone Complex,Action,Sony,61,Sony PSP,E,2005
Dig Dug: Digging Strike,Action,Namco,65,Nintendo DS,E,2005
Frogger: Helmet Chaos,Action,Konami,69,Nintendo DS,E,2005
Mega Man Battle Network 5: Double Team DS,"Action,Role-Playing (RPG)",Capcom,68,Nintendo DS,E,2005
Nanostray,Action,THQ,71,Nintendo DS,E,2005
Sega Casino,Simulation,Sega,61,Nintendo DS,M,2005
